,anime_id,male_fan,female_fan
615,20507,317,512
616,20541,36,16
617,20543,2,1
618,20583,593,798
619,20651,2,2
620,20689,15,18
621,207,38,4
622,20709,21,8
623,2076,12,6
624,20767,2,3
625,20785,282,55
626,20787,89,18
627,208,25,10
628,20853,17,6
629,20899,202,54
630,209,38,12
631,20973,10,5
632,21,2292,811
633,210,115,96
634,21039,18,2
635,2104,176,23
636,2108,3,3
637,21085,18,4
638,2109,2,2
639,21097,2,2
640,21105,10,36
641,2112,11,4
642,2113,2,2
643,2116,6,2
644,21177,2,3
645,21185,53,11
646,212,7,3
647,21273,80,12
648,2129,56,7
649,2130,14,5
650,2131,3,1
651,21327,50,11
652,21329,1,5
653,21339,11,5
654,21405,79,23
655,21407,1,1
656,21431,15,8
657,21437,1,1
658,2144,3,2
659,2148,2,1
660,2150,10,9
661,21507,4,3
662,21511,39,11
663,2152,7,2
664,2154,25,23
665,21557,34,46
666,2156,4,1
667,21561,4,2
668,21563,6,32
669,21573,10,2
670,2158,47,62
671,2159,36,96
672,21603,59,45
673,21639,13,8
674,2164,78,33
675,21647,68,20
676,2165,2,1
677,21667,2,2
678,2167,1012,280
679,21681,29,8
680,21743,6,24
681,218,48,2
682,2182,2,1
683,21843,65,48
684,21855,21,9
685,21863,9,1
686,21877,49,2
687,21881,122,27
688,21939,63,12
689,2199,6,4
690,21995,52,116
691,22,62,144
692,2202,5,1
693,2203,2,1
694,22043,144,88
695,22069,7,2
696,22097,3,1
697,221,2,2
698,22101,17,54
699,22123,5,2
700,2213,9,7
701,22135,762,72
702,22145,14,100
703,22147,61,11
704,2216,45,5
705,22199,316,78
706,2222,1,2
707,2225,9,8
708,22265,20,103
709,22273,14,32
710,22297,438,59
711,223,333,52
712,22319,558,392
713,22359,4,1
714,2236,187,125
715,22429,6,4
716,22433,1,1
717,2246,157,117
718,225,20,1
719,2251,1153,510
720,22535,688,213
721,2255,5,2
722,226,710,275
723,2261,2,1
724,22663,22,6
725,22687,11,1
726,227,1124,220
727,22729,74,29
728,2273,1,4
729,22789,351,246
730,228,57,140
731,22835,7,3
732,22865,13,2
733,229,3,5
734,22961,10,5
735,23135,8,9
736,23199,10,12
737,232,243,387
738,23209,3,2
739,2321,51,2
740,23225,2,4
741,23251,18,17
742,23273,1817,424
743,23277,124,8
744,23281,15,11
745,23283,329,319
746,23289,209,274
747,233,6,7
748,23311,20,10
749,23317,2,35
750,23321,32,1
751,23327,76,14
752,23333,2,16
753,23421,6,6
754,235,254,255
755,2352,1,2
756,2354,9,7
757,23587,17,11
758,2359,1,4
759,23605,12,1
760,2361,2,1
761,23623,74,4
762,23673,2,39
763,2369,5,1
764,237,574,99
765,23703,2,1
766,23755,343,183
767,238,5,8
768,2383,5,4
769,23847,649,46
770,2389,17,5
771,239,308,132
772,2390,3,4
773,2397,5,1
774,23987,1,2
775,24,302,74
776,240,91,10
777,2402,99,4
778,2403,24,6
779,24031,3,6
780,24037,8,2
781,2404,2,9
782,2409,12,1
783,24135,14,8
784,24151,2,2
785,2418,100,44
786,242,7,8
787,24231,2,2
788,24277,20,5
789,243,12,54
790,2432,6,1
791,24405,20,8
792,24415,93,42
793,24439,142,75
794,24455,20,1
795,2448,6,2
796,245,853,71
797,2454,6,1
798,246,4,2
799,24627,2,2
800,24629,4,2
801,24655,8,3
802,24701,50,7
803,24705,16,3
804,2471,19,2
805,2472,5,2
806,2476,151,24
807,24765,147,67
808,24781,1,1
809,24833,287,238
810,24855,4,2
811,2489,5,2
812,24893,22,1
813,249,236,550
814,24997,41,20
815,25,45,4
816,250,34,6
817,25013,95,428
818,251,7,90
819,25157,86,6
820,25183,32,38
821,252,15,3
822,253,23,18
823,25313,1,1
824,25345,11,2
825,25517,17,26
826,25519,39,30
827,2553,6,2
828,25537,56,17
829,2554,1,2
830,2559,28,9
831,256,49,9
832,2562,1,1
833,25649,4,8
834,25681,4,66
835,25687,2,3
836,257,14,1
837,25731,44,14
838,25777,126,49
839,25781,3,13
840,2581,231,60
841,2582,37,1
842,25835,501,68
843,25859,6,1
844,25867,2,3
845,25879,63,9
846,2593,76,11
847,2594,3,3
848,2596,30,30
849,2598,4,2
850,26,336,53
851,26023,2,2
852,2605,188,70
853,26055,237,43
854,26165,18,26
855,2618,11,2
856,2619,2,1
857,2623,5,5
858,26243,83,106
859,263,905,70
860,26349,22,5
861,26441,7,4
862,26453,3,2
863,267,188,28
864,268,190,21
865,2683,4,3
866,2685,16,28
867,269,1090,537
868,27,25,55
869,270,114,75
870,2705,3,2
871,2715,2,1
872,272,43,25
873,2724,16,6
874,274,5,6
875,27441,9,2
876,2747,6,2
877,2748,1,1
878,2758,1,1
879,2759,40,7
880,276,9,5
881,2762,3,2
882,27631,48,15
883,27655,10,9
884,27663,18,4
885,27727,4,21
886,27741,1,2
887,2775,6,1
888,27775,256,37
889,27821,5,3
890,27831,9,13
891,27833,19,11
892,2787,55,9
893,27899,103,68
894,27947,21,4
895,27969,7,2
896,2798,13,7
897,27989,265,85
898,2799,3,1
899,27991,24,11
900,28,44,29
901,2800,4,14
902,28013,4,7
903,28085,1,2
904,28121,207,24
905,28149,3,2
906,28171,715,168
907,282,3,2
908,28211,13,2
909,28215,1,2
910,28223,412,420
911,28249,26,44
912,2828,20,2
913,28297,116,83
914,283,70,11
915,28387,10,6
916,28391,16,1
917,28423,1,11
918,2847,1,2
919,28497,51,7
920,285,8,2
921,28617,23,7
922,28619,7,3
923,28621,20,10
924,28623,52,16
925,28625,6,1
926,28669,10,8
927,28675,25,15
928,28677,88,18
929,287,22,2
930,28701,184,41
931,28725,48,17
932,28735,275,137
933,28771,6,2
934,288,3,2
935,28805,72,27
936,28825,59,61
937,2884,2,1
938,28851,1348,337
939,2889,5,4
940,28891,216,180
941,289,8,3
942,2890,34,32
943,28907,193,9
944,28927,15,12
945,28957,13,4
946,28977,317,87
947,28999,263,94
948,29,13,3
949,290,31,2
950,2904,2099,516
951,29067,5,2
952,29093,14,2
953,29095,84,9
954,2921,112,1
955,2923,22,143
956,2924,237,70
957,2926,42,9
958,2927,17,3
959,293,2,2
960,2950,4,1
961,2952,32,14
962,29589,8,4
963,2961,6,7
964,2963,67,21
965,2964,5,6
966,2966,951,97
967,2969,2,3
968,29785,12,1
969,29786,63,16
970,29787,62,10
971,298,3,2
972,29803,423,34
973,2985,15,18
974,29854,16,2
975,2986,16,1
976,2993,116,21
977,2994,5,10
978,29976,2,8
979,30,2569,607
980,300,4,4
981,3001,11,8
982,30014,8,5
983,30015,256,33
984,30016,5,26
985,3002,426,44
986,30123,52,112
987,30187,14,3
988,302,44,10
989,30205,8,42
990,30230,22,16
991,30240,200,37
992,30276,1291,280
993,30279,26,6
994,30296,163,11
995,30307,71,15
996,30344,8,2
997,30346,14,85
998,30355,2,2
999,30364,1,2
1000,30370,1,6
1001,304,4,1
1002,30415,4,10
1003,30484,169,18
1004,30503,148,187
1005,30544,31,4
1006,30549,14,5
1007,306,24,2
1008,30654,295,146
1009,30694,101,15
1010,30727,40,2
1011,30736,7,28
1012,30740,2,1
1013,30778,6,1
1014,3079,3,2
1015,30795,2,2
1016,30831,819,70
1017,3087,13,1
1018,3089,7,5
1019,30895,1,1
1020,30901,10,1
1021,3091,16,18
1022,30911,11,3
1023,30913,2,1
1024,3092,19,201
1025,31,6,4
1026,31043,701,360
1027,31051,5,2
1028,31080,13,4
1029,31098,8,3
1030,311,6,1
1031,31115,1,1
1032,31147,23,5
1033,31149,13,4
1034,31163,17,2
1035,31173,18,24
1036,31174,50,123
1037,31181,75,11
1038,31229,6,17
1039,31240,1236,176
1040,31245,8,3
1041,31251,52,13
1042,31297,3,4
1043,31338,13,1
1044,31339,63,15
1045,31370,4,1
1046,31374,5,4
1047,31376,52,15
1048,31404,18,14
1049,31405,14,14
1050,31414,9,6
1051,31418,4,1
1052,31433,3,5
1053,31442,11,4
1054,31452,2,8
1055,31478,74,191
1056,31499,7,7
1057,31500,45,2
1058,31537,6,2
1059,31559,5,2
1060,31564,1,1
1061,31580,35,44
1062,31588,1,5
1063,31592,19,1
1064,31630,7,9
1065,31631,1,1
1066,31646,470,151
1067,31658,2,5
1068,3167,91,22
1069,31675,1,2
1070,31680,2,15
1071,317,34,28
1072,31704,3,1
1073,31710,6,2
1074,31716,20,3
1075,31733,1,21
1076,31737,6,1
1077,31741,13,10
1078,31757,40,3
1079,31758,124,16
1080,31764,16,5
1081,31765,59,14
1082,31771,26,5
1083,31798,59,47
1084,31812,2,18
1085,31821,3,6
1086,31848,2,1
1087,31859,136,21
1088,31904,7,3
1089,31933,616,100
1090,31952,11,3
1091,31953,88,14
1092,31964,827,373
1093,31973,28,4
1094,31988,119,30
1095,32,788,113
1096,32005,2,2
1097,32013,6,8
1098,32032,11,3
1099,32071,6,3
1100,32086,4,2
1101,32093,125,45
1102,32105,26,14
1103,32175,4,9
1104,32182,525,243
1105,32188,4,2
1106,32189,27,14
1107,322,6,74
1108,3220,28,4
1109,32245,9,3
1110,3228,20,10
1111,32281,1689,412
1112,32282,49,10
1113,323,226,89
1114,32313,12,1
1115,32355,3,3
1116,32360,9,3
1117,32370,8,13
1118,32379,21,11
