,animeID,name,title_english,type,source,genre,episodes,score,scored_by,rating,male_fan,female_fan,fan_base
7360,17086.0,Agigongryong Doolie (1988),Little Dino Dooly (1988),TV,Original,Kids,7.0,5.82,59.0,5.827741318166478,0.0,0.0,0.0
7361,17088.0,Agigongryong Doolie,Little Dino Dooly,TV,Original,"Adventure, Kids",6.0,5.96,80.0,5.964005914691217,0.0,0.0,0.0
7362,17090.0,Agigongryong Doolie (2009),Little Dino Dooly (2009),TV,Original,"Adventure, Kids",26.0,5.58,45.0,5.595314762825841,2.0,0.0,2.0
7363,17092.0,Dallyeola Hani,,TV,Original,Sports,13.0,6.67,105.0,6.666363010282912,0.0,0.0,0.0
7364,17100.0,Nae Ireumeun Dokgotak,My name is Dokgo Tak,Movie,Original,Sports,1.0,5.42,19.0,5.4632239544994325,0.0,0.0,0.0
7365,17102.0,Lolling Seutajeu,Rolling Stars,TV,Original,"Kids, Sports",26.0,5.15,20.0,5.204022813808984,0.0,0.0,0.0
7366,17104.0,Lolling Seutajeu (Movie),Rolling Stars (Movie),Movie,Original,"Kids, Sports",1.0,5.33,12.0,5.403421468460666,0.0,0.0,0.0
7367,17106.0,Wala! Pyeon-uijeom The Animation,Welcome to Wara Store!,TV,Web manga,Slice of Life,24.0,5.62,21.0,5.650203594999485,0.0,0.0,0.0
7368,17113.0,Crayon Shin-chan Movie 21: Bakauma! B-Kyuu Gourmet Survival Battle!!,,Movie,Manga,"Adventure, Comedy, Seinen",1.0,7.04,507.0,7.0385127541141514,0.0,0.0,0.0
7369,17115.0,Pokemon Best Wishes! Season 2: Episode N,Pokémon: Black & White: Adventures in Unova,TV,Game,"Action, Adventure, Comedy, Kids, Fantasy",14.0,6.9,10906.0,6.899943566433482,0.0,0.0,0.0
7370,17117.0,Aoi Kioku: Manmou Kaitaku to Shounen-tachi,,Movie,Original,"Drama, Historical, Military",1.0,6.02,41.0,6.026297121190205,0.0,0.0,0.0
7371,17121.0,Dareka no Manazashi,Someone's Gaze,Movie,Original,"Drama, Slice of Life",1.0,7.47,24298.0,7.469951211123503,7.0,0.0,7.0
7372,17127.0,Chokkyuu Hyoudai Robot Anime: Straight Title,Straight Title Robot Anime,TV,Original,"Comedy, Mecha",12.0,5.89,465.0,5.890846521652335,0.0,0.0,0.0
7373,17131.0,Dennou Sentai Voogie's★Angel: Forever and Ever,,OVA,Original,"Action, Mecha, Comedy, Sci-Fi, Drama",1.0,5.09,45.0,5.115966936738884,0.0,0.0,0.0
7374,17137.0,Saiyuuki Gaiden: Kouga no Shou,,OVA,Manga,"Adventure, Drama, Fantasy",1.0,7.43,542.0,7.427890385064435,0.0,0.0,0.0
7375,17141.0,Kara The Animation,,TV,Original,Action,5.0,5.7,99.0,5.705844790899886,0.0,0.0,0.0
7376,17147.0,Gakkatsu! 2nd Season,,TV,Original,"Comedy, School",25.0,6.52,337.0,6.519303192573931,0.0,0.0,0.0
7377,17151.0,Mogu Mogu,,Music,Original,Music,1.0,4.66,166.0,4.669727419700531,0.0,0.0,0.0
7378,17157.0,Nozoki Ana,,OVA,Manga,"Comedy, Drama, Ecchi",1.0,6.6,17530.0,6.599982002115681,5.0,0.0,5.0
7379,17159.0,Peeping Life Specials,,Special,Original,"Comedy, Slice of Life",2.0,4.9,144.0,4.909548131655095,0.0,0.0,0.0
7380,17161.0,Peeping Life: The Perfect Emotion Special,,Special,Original,"Slice of Life, Comedy",1.0,5.29,115.0,5.298573095603351,0.0,0.0,0.0
7381,17163.0,Peeping Life: The Perfect Evolution Specials,,Special,Original,"Slice of Life, Comedy",3.0,5.17,106.0,5.180415692429801,0.0,0.0,0.0
7382,17165.0,SF Saiyuuki Starzinger (Movie),,Movie,Original,"Adventure, Mecha, Sci-Fi, Shounen",1.0,5.78,108.0,5.784628248532007,0.0,0.0,0.0
7383,17167.0,Akai Koudan Zillion Specials,Zillion Specials,Special,Original,"Sci-Fi, Adventure",3.0,6.23,78.0,6.230689608734035,0.0,0.0,0.0
7384,17187.0,Ghost in the Shell: Arise - Border:1 Ghost Pain,Ghost in the Shell: Arise - Border 1: Ghost Pain,Movie,Manga,"Mecha, Police, Psychological, Sci-Fi",1.0,7.54,21872.0,7.539942599510355,0.0,0.0,0.0
7385,17201.0,Toki no Daichi: Hana no Oukoku no Majo,,OVA,Manga,"Adventure, Fantasy",3.0,5.5,30.0,5.525305777096408,0.0,0.0,0.0
7386,17205.0,Cowboy Bebop: Ein no Natsuyasumi,Ein's Summer Vacation,Special,Original,Adventure,1.0,6.27,6252.0,6.2700023155429365,1.0,0.0,1.0
7387,17209.0,Suzy's Zoo: Daisuki! Witzy - Happy Birthday,,Special,Original,Kids,1.0,5.94,92.0,5.943704076236438,0.0,0.0,0.0
7388,17211.0,Shouwa Ahozoushi Akanuke Ichiban!,,TV,Manga,"Comedy, Shoujo",22.0,6.79,72.0,6.783075056027241,0.0,0.0,0.0
7389,17213.0,Sore Ike! Anpanman: Dadandan to Futago no Hoshi,,Movie,Original,"Comedy, Kids",1.0,5.96,25.0,5.972479964999564,0.0,0.0,0.0
7390,17215.0,Sore Ike! Anpanman: Happy no Daibouken,,Movie,Original,"Comedy, Kids",1.0,5.92,25.0,5.934018426538025,0.0,0.0,0.0
7391,17217.0,Kankara Sanshin,,Movie,Original,"Drama, Historical",1.0,7.23,13.0,7.162462792142047,0.0,0.0,0.0
